Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    21    2109    2110   20.50000   20.83333   21.50000    25    2196   24.50000   24.83333   25.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    21    2109    2110   20.50000   21.16667   21.50000    25    2196   24.50000   24.83333   25.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    22    2110    2111   21.50000   21.50000   22.50000    25    2197   24.50000   24.83333   25.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    22    2110    2111   21.50000   21.83333   22.50000    25    2197   24.50000   24.83333   25.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    22    2110    2111   21.50000   22.16667   22.50000    25    2197   24.50000   24.83333   25.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    23    2111    2112   22.50000   22.50000   23.50000    25    2198   24.50000   24.83333   25.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    23    2111    2112   22.50000   22.83333   23.50000    25    2198   24.50000   24.83333   25.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    23    2111    2112   22.50000   23.16667   23.50000    25    2198   24.50000   24.83333   25.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    24    2112    2113   23.50000   23.50000   24.50000    25    2199   24.50000   24.83333   25.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    24    2112    2113   23.50000   23.83333   24.50000    25    2199   24.50000   24.83333   25.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    24    2112    2113   23.50000   24.16667   24.50000    25    2199   24.50000   24.83333   25.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    25    2113    2114   24.50000   24.50000   25.50000    25    2200   24.50000   24.83333   25.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    25    2113    2114   24.50000   24.83333   25.50000    25    2200   24.50000   24.83333   25.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    25    2113    2114   24.50000   25.16667   25.50000    25    2200   24.50000   24.83333   25.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    26    2114    2115   25.50000   25.50000   26.50000    25    2201   24.50000   24.83333   25.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    26    2114    2115   25.50000   25.83333   26.50000    25    2201   24.50000   24.83333   25.50000
0000017  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    26    2114    2115   25.50000   26.16667   26.50000    25    2201   24.50000   24.83333   25.50000
0000018  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    27    2115    2116   26.50000   26.50000   27.50000    25    2202   24.50000   24.83333   25.50000
0000019  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    27    2115    2116   26.50000   26.83333   27.50000    25    2202   24.50000   24.83333   25.50000
0000020  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    27    2115    2116   26.50000   27.16667   27.50000    25    2202   24.50000   24.83333   25.50000
0000021  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    28    2116    2117   27.50000   27.50000   28.50000    25    2203   24.50000   24.83333   25.50000
