Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    22    2085    2086   21.00000   21.00000   22.00000    25    2171   24.50000   24.83333   25.50000
0000002  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    22    2085    2086   21.00000   21.33333   22.00000    25    2171   24.50000   24.83333   25.50000
0000003  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    22    2085    2086   21.00000   21.66667   22.00000    25    2171   24.50000   24.83333   25.50000
0000004  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    23    2086    2087   22.00000   22.00000   23.00000    25    2172   24.50000   24.83333   25.50000
0000005  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    23    2086    2087   22.00000   22.33333   23.00000    25    2172   24.50000   24.83333   25.50000
0000006  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    23    2086    2087   22.00000   22.66667   23.00000    25    2172   24.50000   24.83333   25.50000
0000007  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    24    2087    2088   23.00000   23.00000   24.00000    25    2173   24.50000   24.83333   25.50000
0000008  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    24    2087    2088   23.00000   23.33333   24.00000    25    2173   24.50000   24.83333   25.50000
0000009  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    24    2087    2088   23.00000   23.66667   24.00000    25    2173   24.50000   24.83333   25.50000
0000010  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    25    2088    2089   24.00000   24.00000   25.00000    25    2174   24.50000   24.83333   25.50000
0000011  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    25    2088    2089   24.00000   24.33333   25.00000    25    2174   24.50000   24.83333   25.50000
0000012  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    25    2088    2089   24.00000   24.66667   25.00000    25    2174   24.50000   24.83333   25.50000
0000013  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    26    2089    2090   25.00000   25.00000   26.00000    25    2175   24.50000   24.83333   25.50000
0000014  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    26    2089    2090   25.00000   25.33333   26.00000    25    2175   24.50000   24.83333   25.50000
0000015  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    26    2089    2090   25.00000   25.66667   26.00000    25    2175   24.50000   24.83333   25.50000
0000016  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    27    2090    2091   26.00000   26.00000   27.00000    25    2176   24.50000   24.83333   25.50000
0000017  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    27    2090    2091   26.00000   26.33333   27.00000    25    2176   24.50000   24.83333   25.50000
0000018  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    27    2090    2091   26.00000   26.66667   27.00000    25    2176   24.50000   24.83333   25.50000
0000019  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    28    2091    2092   27.00000   27.00000   28.00000    25    2177   24.50000   24.83333   25.50000
0000020  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    28    2091    2092   27.00000   27.33333   28.00000    25    2177   24.50000   24.83333   25.50000
0000021  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    28    2091    2092   27.00000   27.66667   28.00000    25    2177   24.50000   24.83333   25.50000
0000022  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    29    2092    2093   28.00000   28.00000   29.00000    25    2178   24.50000   24.83333   25.50000
0000023  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    29    2092    2093   28.00000   28.33333   29.00000    25    2178   24.50000   24.83333   25.50000
0000024  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    29    2092    2093   28.00000   28.66667   29.00000    25    2178   24.50000   24.83333   25.50000
0000025  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    30    2093    2094   29.00000   29.00000   30.00000    25    2179   24.50000   24.83333   25.50000
0000026  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    30    2093    2094   29.00000   29.33333   30.00000    25    2179   24.50000   24.83333   25.50000
0000027  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    30    2093    2094   29.00000   29.66667   30.00000    25    2179   24.50000   24.83333   25.50000
0000028  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    31    2094    2095   30.00000   30.00000   31.00000    25    2180   24.50000   24.83333   25.50000
0000029  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    31    2094    2095   30.00000   30.33333   31.00000    25    2180   24.50000   24.83333   25.50000
0000030  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    31    2094    2095   30.00000   30.66667   31.00000    25    2180   24.50000   24.83333   25.50000
0000031  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    32    2095    2096   31.00000   31.00000   32.00000    25    2181   24.50000   24.83333   25.50000
0000032  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    32    2095    2096   31.00000   31.33333   32.00000    25    2181   24.50000   24.83333   25.50000
0000033  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    32    2095    2096   31.00000   31.66667   32.00000    25    2181   24.50000   24.83333   25.50000
0000034  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    33    2096    2097   32.00000   32.00000   33.00000    25    2182   24.50000   24.83333   25.50000
0000035  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    33    2096    2097   32.00000   32.33333   33.00000    25    2182   24.50000   24.83333   25.50000
0000036  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    33    2096    2097   32.00000   32.66667   33.00000    25    2182   24.50000   24.83333   25.50000
0000037  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    34    2097    2098   33.00000   33.00000   34.00000    25    2183   24.50000   24.83333   25.50000
0000038  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    34    2097    2098   33.00000   33.33333   34.00000    25    2183   24.50000   24.83333   25.50000
0000039  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    34    2097    2098   33.00000   33.66667   34.00000    25    2183   24.50000   24.83333   25.50000
0000040  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    35    2098    2099   34.00000   34.00000   35.00000    25    2184   24.50000   24.83333   25.50000
0000041  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    35    2098    2099   34.00000   34.33333   35.00000    25    2184   24.50000   24.83333   25.50000
0000042  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    35    2098    2099   34.00000   34.66667   35.00000    25    2184   24.50000   24.83333   25.50000
0000043  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    36    2099    2100   35.00000   35.00000   36.00000    25    2185   24.50000   24.83333   25.50000
0000044  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    36    2099    2100   35.00000   35.33333   36.00000    25    2185   24.50000   24.83333   25.50000
0000045  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    36    2099    2100   35.00000   35.66667   36.00000    25    2185   24.50000   24.83333   25.50000
