time,10H,12H,14H,16H,max
2011-10-10,-3.21386519948e-07,-9.49239319041e-08,-3.13278130164e-07,-3.28602598167e-07,1.65859681697e-06
2011-10-11,-3.25143131187e-07,-3.26643221639e-07,-3.25013067212e-07,-3.2277662921e-07,-3.2277662921e-07
2011-10-12,-3.25660857341e-07,-3.2819786735e-07,-3.30204973693e-07,,-3.25660857341e-07
2011-10-13,-3.21192725553e-07,-3.24505129149e-07,-3.17339452237e-07,-3.29217040434e-07,-3.17339452237e-07
2011-10-14,-3.49648597168e-07,-3.27508731649e-07,,,-3.24717988119e-07
2011-10-15,,,,,
2011-10-16,,,,,
2011-10-17,,,,,
2011-10-18,,,,,
2011-10-19,,,,,
2011-10-20,,,,,
2011-10-21,,,,,
2011-10-22,,,,,
2011-10-23,,,,,
2011-10-24,,,8.6639531869e-07,3.92646472048e-07,8.6639531869e-07
2011-10-25,3.30332625236e-06,3.15084499246e-06,7.64234753141e-07,4.54434533216e-08,3.898337518e-06
2011-10-26,1.59468527642e-06,2.59951559266e-06,2.10178164271e-06,8.96845585773e-07,2.59951559266e-06
2011-10-27,4.83027319726e-06,4.72789746218e-06,3.76686292493e-06,6.24615795456e-07,4.85065289148e-06
2011-10-28,3.18657356201e-06,5.97775669669e-06,4.53431672086e-06,1.17960254964e-06,5.97775669669e-06
2011-10-29,4.03966483455e-06,4.7906973539e-06,3.46763551139e-06,2.70249567341e-07,4.7906973539e-06
2011-10-30,4.08448199041e-06,3.08581639017e-06,2.14661858575e-06,8.01264068825e-07,4.08448199041e-06
2011-10-31,2.87047356178e-06,5.24185634244e-06,2.78367063913e-06,6.85773602536e-07,5.24185634244e-06
2011-11-01,4.17940759861e-06,5.42924633958e-06,3.8550257073e-06,7.80380768624e-07,5.42924633958e-06
2011-11-02,5.12539485533e-06,5.94740427787e-06,4.26421643842e-06,1.17343130793e-06,5.94740427787e-06
2011-11-03,3.61814191526e-06,5.58608034149e-06,3.85434106669e-06,8.02753356623e-07,5.58608034149e-06
2011-11-04,4.27130831398e-06,4.36974027896e-06,1.81536627734e-06,4.04447674835e-07,4.36974027896e-06
2011-11-05,5.10392597032e-06,5.66066785705e-06,3.81474936294e-06,9.2836402104e-07,5.83453461704e-06
2011-11-06,5.38452467556e-06,6.13719160099e-06,2.6007311527e-06,2.24306377053e-07,6.13719160099e-06
2011-11-07,4.80322342539e-06,5.7757375419e-06,2.59761899842e-06,3.08860530408e-07,5.91743846256e-06
2011-11-08,1.09765557118e-06,8.966243661e-07,5.28238057183e-07,5.36853906062e-07,1.09765557118e-06
2011-11-09,7.11267839625e-07,1.15484612341e-06,6.91652025631e-07,1.10396681382e-06,1.15484612341e-06
2011-11-10,4.14643810574e-06,4.28218406505e-06,2.45192138993e-06,3.15693589469e-07,4.54800632347e-06
2011-11-11,4.46888997866e-06,5.09275582204e-06,2.54569653211e-06,2.31712357919e-07,5.60486027082e-06
2011-11-12,5.07027619673e-06,5.62129755209e-06,3.92968602204e-06,6.9732983563e-07,5.62129755209e-06
2011-11-13,3.98512883856e-06,6.04884277116e-06,4.68533992496e-06,9.42670539056e-07,6.04884277116e-06
2011-11-14,4.63412902543e-06,5.44667806664e-06,3.89610803837e-06,6.99079460621e-07,5.44667806664e-06
2011-11-15,4.37478266448e-06,5.43045179273e-06,3.95269458437e-06,7.19370655646e-07,5.43045179273e-06
2011-11-16,3.905502866e-06,5.18038035735e-06,2.42546240852e-06,4.42833051124e-07,5.18038035735e-06
2011-11-17,2.7648274683e-06,1.6558695521e-06,1.15563942889e-06,1.98389716191e-09,2.93587642122e-06
2011-11-18,1.42073399491e-06,2.26586149162e-06,9.09722714272e-07,-2.53245515553e-07,2.26586149162e-06
2011-11-19,2.43677408421e-06,5.99924493534e-06,3.95230442884e-06,6.46244983497e-07,5.99924493534e-06
2011-11-20,4.64234016932e-06,5.50835347615e-06,3.95802205348e-06,7.39787441972e-07,5.50835347615e-06
2011-11-21,2.41468858213e-06,2.96937424355e-06,9.80987706605e-07,1.09499163425e-07,2.96937424355e-06
2011-11-22,2.26625559671e-06,4.22113193187e-06,3.65395000101e-06,3.67307023425e-07,4.22113193187e-06
2011-11-23,4.70901080583e-06,5.42580150322e-06,3.66073749079e-06,6.0421272092e-07,5.51545174402e-06
2011-11-24,4.34909592847e-06,5.17673612206e-06,3.85787122309e-06,6.25597227669e-07,5.17673612206e-06
2011-11-25,3.10427224032e-06,2.36484020452e-06,1.24027850461e-06,-2.97975641615e-09,3.25262057532e-06
2011-11-26,1.04009123422e-06,6.66183813491e-07,3.3048452487e-06,2.97232418503e-07,3.3048452487e-06
2011-11-27,4.34728340224e-06,4.74407470555e-06,3.39171946086e-06,6.78465766863e-07,4.77360318106e-06
2011-11-28,3.93132219065e-06,4.27997510555e-06,2.95488049978e-06,4.50602376045e-07,4.62981806195e-06
2011-11-29,3.17118413149e-06,3.4361006564e-06,2.07056115763e-06,4.74857514821e-07,3.62175701526e-06
2011-11-30,2.47320331292e-06,3.53144532197e-06,2.85182170235e-06,3.95548892202e-07,3.77456308897e-06
2011-12-01,4.07041685569e-06,5.1312639822e-06,3.23982287427e-06,6.20888965773e-07,5.1312639822e-06
2011-12-02,4.57189567543e-06,5.36473934298e-06,3.86793781387e-06,7.29705819629e-07,5.36473934298e-06
2011-12-03,4.54861809404e-06,5.62813718746e-06,4.15845545391e-06,7.60830604178e-07,5.62813718746e-06
2011-12-04,4.17340633799e-06,4.8683980612e-06,3.49935320694e-06,6.010425406e-07,4.8683980612e-06
2011-12-05,2.05999204547e-06,3.08194887597e-06,2.05975372051e-06,1.33668248558e-07,3.65037254719e-06
2011-12-06,3.66672856108e-06,3.53853771951e-06,2.70678385259e-06,3.38301806476e-07,3.79808861228e-06
2011-12-07,2.13036155314e-06,1.34223774958e-06,1.32490439461e-06,1.59517200794e-07,2.13036155314e-06
2011-12-08,2.94813060952e-06,4.82041697725e-06,3.04311361807e-06,5.75603326875e-07,4.82041697725e-06
2011-12-09,2.95729448175e-06,4.92858463145e-06,2.50605275904e-06,6.71589445415e-07,4.92858463145e-06
2011-12-10,4.42196779725e-06,5.26189455965e-06,4.04100148526e-06,7.62598440764e-07,5.26189455965e-06
2011-12-11,4.18218665995e-06,5.07555138429e-06,3.82575889308e-06,7.20687932691e-07,5.07555138429e-06
2011-12-12,4.10717111859e-06,4.9353694062e-06,3.36691749686e-06,6.12265479307e-07,4.9353694062e-06
2011-12-13,3.89482812306e-06,4.90009937895e-06,3.62187355796e-06,6.26885722743e-07,4.90009937895e-06
2011-12-14,3.1875928974e-06,3.57977218319e-06,2.75578065814e-06,4.96825655265e-07,4.18630485846e-06
2011-12-15,3.68272120002e-06,4.60740405814e-06,2.50671711654e-06,2.70086593158e-07,4.60740405814e-06
2011-12-16,3.07768411282e-06,4.69333103163e-06,2.57497238987e-06,4.05994572803e-07,4.69333103163e-06
2011-12-17,2.00077588771e-06,3.44922221944e-06,2.89907624078e-06,4.81702695254e-07,3.62222768806e-06
2011-12-18,3.14954607895e-06,4.39393007614e-06,3.26492010118e-06,6.01233186098e-07,4.39393007614e-06
2011-12-19,3.65820280124e-06,4.57433850583e-06,3.42265107811e-06,6.23852198835e-07,4.57433850583e-06
2011-12-20,3.45995907082e-06,3.38778187149e-06,1.33016799936e-06,-3.070131953e-09,3.87890773981e-06
2011-12-21,2.14869392094e-06,4.44462141347e-06,3.33723857382e-06,6.5769132343e-07,4.44462141347e-06
2011-12-22,3.05330713725e-06,4.0618872922e-06,3.07927754666e-06,5.66814134404e-07,4.0618872922e-06
2011-12-23,3.17001598165e-06,4.1917895204e-06,3.0058163516e-06,5.05261094655e-07,4.1917895204e-06
2011-12-24,3.08354054808e-06,4.08370072931e-06,2.96816111612e-06,6.07877809259e-07,4.08370072931e-06
2011-12-25,3.79036504764e-06,4.88118999444e-06,3.66799614544e-06,7.21183059124e-07,4.88118999444e-06
2011-12-26,2.3146739689e-06,4.63231065116e-06,3.52756146327e-06,6.61560734408e-07,4.63231065116e-06
2011-12-27,3.29835394002e-06,4.21367178009e-06,2.67877030748e-06,5.0931656455e-07,4.21367178009e-06
2011-12-28,2.30408995037e-06,3.98693777819e-06,3.28657167906e-06,8.03896885225e-07,4.01929857869e-06
2011-12-29,2.94322436267e-06,3.32685868558e-06,2.66139364254e-06,4.38589012964e-07,3.42651008955e-06
2011-12-30,1.22238935976e-06,2.01177216451e-06,2.09774134352e-06,2.98591506014e-07,2.46348790232e-06
2011-12-31,1.77646998044e-06,2.31517758695e-06,3.64545107253e-06,7.1486999023e-07,3.64545107253e-06
2012-01-01,3.09297511587e-06,4.6932930131e-06,3.36971580759e-06,6.68180170521e-07,4.6932930131e-06
2012-01-01,3.09297511587e-06,4.6932930131e-06,3.36971580759e-06,6.68180170521e-07,4.6932930131e-06
2012-01-02,8.35151533622e-07,3.12565775487e-06,3.03546699143e-06,6.12356755918e-07,3.12565775487e-06
2012-01-03,1.64008902267e-06,2.24381131331e-06,1.96491014569e-06,3.07461054834e-07,2.4704590711e-06
2012-01-04,1.18585151147e-06,1.45202120376e-06,9.15191266457e-07,9.37857055131e-07,1.45202120376e-06
2012-01-05,1.12883201345e-06,1.08703336862e-06,9.58518424277e-07,1.88491526681e-06,1.88491526681e-06
2012-01-06,1.01614603188e-06,1.79763075443e-06,1.39746807768e-06,9.81817295254e-07,1.850596918e-06
2012-01-07,9.48379953034e-07,1.36815576088e-06,1.46158773472e-06,6.98468253292e-07,1.6447488169e-06
2012-01-08,2.91387592147e-06,5.00547467732e-06,2.87177216276e-06,4.18544813762e-07,5.00547467732e-06
2012-01-09,4.26953023012e-06,4.98508693281e-06,4.05073356519e-06,9.31755069438e-07,5.16120520908e-06
2012-01-10,3.73467002996e-06,4.67276772773e-06,3.78813339918e-06,8.99705913561e-07,4.67276772773e-06
2012-01-11,2.15584890017e-06,3.15108896296e-06,2.35439718953e-06,2.38708375843e-07,3.15108896296e-06
2012-01-12,1.20701394772e-06,2.06354059258e-06,9.37673477072e-07,9.25535339152e-07,2.06354059258e-06
2012-01-13,1.50715272568e-06,2.13108023192e-06,1.36089533986e-06,3.80208478892e-07,2.89503783289e-06
2012-01-14,1.09080008557e-06,2.54587352211e-06,7.99079086543e-07,4.15818754154e-07,2.54587352211e-06
2012-01-15,1.02939154618e-06,8.7156116739e-07,9.16489082104e-07,1.33624367725e-06,1.33624367725e-06
