time,10H,12H,14H,16H,max
2011-10-10,,,,4.41680675997e-08,4.41680675997e-08
2011-10-11,3.03261406204e-09,2.99291783784e-09,3.04910999028e-09,3.11441614628e-09,3.12979603153e-09
2011-10-12,2.95289407e-09,2.91815138071e-09,2.89873062939e-09,,2.95289407e-09
2011-10-13,3.16472537759e-09,3.04004423929e-09,3.19767174923e-09,2.92206623672e-09,3.19767174923e-09
2011-10-14,2.20787433498e-09,2.88741081001e-09,,,2.97756886371e-09
2011-10-15,,,,,
2011-10-16,,,,,
2011-10-17,,,,,
2011-10-18,,,,,
2011-10-19,,,,,
2011-10-20,,,,,
2011-10-21,,,,,
2011-10-22,,,,,
2011-10-23,,,,,
2011-10-24,,,3.23263477952e-06,2.01641404312e-06,3.23263477952e-06
2011-10-25,1.04298798055e-05,1.00210360395e-05,3.22126065667e-06,1.34287343557e-06,1.22179297822e-05
2011-10-26,5.76308816318e-06,8.62471037624e-06,7.29370805701e-06,3.49553402286e-06,8.62471037624e-06
2011-10-27,1.44729229328e-05,1.46250588923e-05,1.12645598999e-05,2.53835781911e-06,1.49041865817e-05
2011-10-28,1.03079246239e-05,1.83158151306e-05,1.30516329409e-05,3.76023643906e-06,1.83158151306e-05
2011-10-29,1.23526055891e-05,1.48766406169e-05,1.07271503842e-05,1.94710130259e-06,1.48766406169e-05
2011-10-30,1.27105804651e-05,1.00373707434e-05,7.2907060322e-06,3.26125038111e-06,1.27105804651e-05
2011-10-31,9.46115176348e-06,1.61248244919e-05,8.8638508124e-06,2.93269393885e-06,1.61248244919e-05
2011-11-01,1.25872124741e-05,1.666605118e-05,1.13459537597e-05,3.03072227359e-06,1.666605118e-05
2011-11-02,1.50481780857e-05,1.81833473166e-05,1.20576734402e-05,3.54865994685e-06,1.81833473166e-05
2011-11-03,1.13516929353e-05,1.71020873369e-05,1.11567236568e-05,2.97454197271e-06,1.71020873369e-05
2011-11-04,1.28209279445e-05,1.32287659026e-05,6.04104950904e-06,2.2318756069e-06,1.32287659026e-05
2011-11-05,1.47046095545e-05,1.70053089195e-05,1.09276688034e-05,3.249672507e-06,1.73793749213e-05
2011-11-06,1.54035873853e-05,1.83026459742e-05,8.05984009303e-06,1.6198894432e-06,1.83026459742e-05
2011-11-07,1.39191511788e-05,1.72694401312e-05,8.26153349795e-06,1.97118574517e-06,1.75528973943e-05
2011-11-08,3.9956869452e-06,3.34181005523e-06,2.36499527425e-06,4.3354868095e-07,3.9956869452e-06
2011-11-09,3.02775449206e-06,4.08933394216e-06,2.96657641398e-06,6.05152015958e-07,4.08933394216e-06
2011-11-10,1.26030153136e-05,1.31890496472e-05,8.19035068791e-06,2.01234353363e-06,1.36173665277e-05
2011-11-11,1.32162818993e-05,1.52262076831e-05,8.29265839249e-06,1.89696150529e-06,1.64903738072e-05
2011-11-12,1.45042553063e-05,1.70419451443e-05,1.09991722507e-05,2.66800316946e-06,1.70419451443e-05
2011-11-13,1.16935888635e-05,1.79985852719e-05,1.25941035386e-05,3.11443430134e-06,1.79985852719e-05
2011-11-14,1.33615625516e-05,1.6352978631e-05,1.08399849155e-05,2.70261106207e-06,1.6352978631e-05
2011-11-15,1.26748363606e-05,1.61477845786e-05,1.10367504183e-05,2.76221374176e-06,1.61477845786e-05
2011-11-16,1.14591515184e-05,1.53648321004e-05,7.75185777058e-06,2.31492914956e-06,1.53648321004e-05
2011-11-17,8.88826200679e-06,5.74814609654e-06,4.34104977537e-06,1.18255820259e-06,9.44121153748e-06
2011-11-18,4.69690163073e-06,7.15531323671e-06,3.47405950558e-06,3.44853935559e-07,7.15531323671e-06
2011-11-19,7.73398854568e-06,1.70741394749e-05,1.0799556059e-05,2.62979143373e-06,1.70741394749e-05
2011-11-20,1.27594953556e-05,1.58711595956e-05,1.07391176256e-05,2.74720027184e-06,1.58711595956e-05
2011-11-21,7.84087213832e-06,9.42050115146e-06,3.85909727622e-06,1.48625882796e-06,9.42050115146e-06
2011-11-22,7.43184019938e-06,1.22892683306e-05,9.94923920996e-06,2.05072042829e-06,1.24516257165e-05
2011-11-23,1.28397511596e-05,1.55157597758e-05,1.00205114224e-05,2.56054403106e-06,1.56279063682e-05
2011-11-24,1.2019964677e-05,1.50319925066e-05,1.0361461602e-05,2.45831775728e-06,1.50319925066e-05
2011-11-25,9.36502625498e-06,7.77304671e-06,4.66640999281e-06,1.14624871378e-06,9.97198318443e-06
2011-11-26,4.0201867806e-06,2.8359248006e-06,9.49726240594e-06,1.91496112198e-06,9.49726240594e-06
2011-11-27,1.18268999398e-05,1.38507101376e-05,9.24433994406e-06,2.46799589455e-06,1.38507101376e-05
2011-11-28,1.09658585604e-05,1.25093138024e-05,8.28470489556e-06,1.99279190643e-06,1.32819543044e-05
2011-11-29,9.23285763629e-06,1.02166338192e-05,6.33106936126e-06,2.15518060803e-06,1.06292160591e-05
2011-11-30,7.45564338422e-06,1.04877139392e-05,8.19562081714e-06,2.02947312774e-06,1.10553542847e-05
2011-12-01,1.13313835927e-05,1.46732541044e-05,9.34196885117e-06,2.6426606828e-06,1.46732541044e-05
2011-12-02,1.23390609371e-05,1.53605385479e-05,1.04012665792e-05,2.75435568885e-06,1.53605385479e-05
2011-12-03,1.21434404909e-05,1.65259238397e-05,1.128392377e-05,2.77595500857e-06,1.65259238397e-05
2011-12-04,1.17029336097e-05,1.45299516896e-05,9.81399762508e-06,2.56022861355e-06,1.45299516896e-05
2011-12-05,7.21227407235e-06,1.00058610593e-05,7.07701769479e-06,1.61866077037e-06,1.12842640672e-05
2011-12-06,1.08777986117e-05,1.0815841175e-05,8.39091707222e-06,2.07450600352e-06,1.14242969998e-05
2011-12-07,7.29410443449e-06,4.86295101693e-06,4.95137908678e-06,1.06803758149e-06,7.29410443449e-06
2011-12-08,9.35715561608e-06,1.41401678785e-05,9.24487306133e-06,2.04965525492e-06,1.41401678785e-05
2011-12-09,9.33926109318e-06,1.42932345732e-05,8.03836467413e-06,2.75265713059e-06,1.42932345732e-05
2011-12-10,1.19670457632e-05,1.51554290854e-05,1.07974765133e-05,2.83022806125e-06,1.51554290854e-05
2011-12-11,1.14129367189e-05,1.47050888886e-05,1.03695854227e-05,2.78952505273e-06,1.47050888886e-05
2011-12-12,1.12130742246e-05,1.43333947716e-05,9.33090672e-06,2.55199699927e-06,1.43333947716e-05
2011-12-13,1.07696444438e-05,1.41676562753e-05,9.86939957635e-06,2.54728634539e-06,1.41676562753e-05
2011-12-14,9.5263670552e-06,1.0995698521e-05,8.46660982381e-06,2.46307018967e-06,1.22277709072e-05
2011-12-15,1.03374524926e-05,1.33427068067e-05,8.00188757604e-06,1.97822418325e-06,1.33427068067e-05
2011-12-16,9.11818424127e-06,1.35528353203e-05,8.09439291374e-06,2.34124206102e-06,1.35528353203e-05
2011-12-17,6.89397346468e-06,1.05969947064e-05,8.43117178666e-06,2.30426250091e-06,1.06754392648e-05
2011-12-18,9.01953177495e-06,1.27896775414e-05,9.26910299276e-06,2.61792325688e-06,1.27896775414e-05
2011-12-19,1.03226589859e-05,1.34249588798e-05,9.61245049884e-06,2.61177019342e-06,1.34249588798e-05
2011-12-20,9.93874951056e-06,1.06559094425e-05,5.03519594026e-06,1.24887153922e-06,1.16029832806e-05
2011-12-21,7.15603535243e-06,1.30480834521e-05,9.54787084075e-06,2.75539284253e-06,1.30480834521e-05
2011-12-22,8.99776703232e-06,1.20763142585e-05,8.94834850726e-06,2.58953004578e-06,1.20763142585e-05
2011-12-23,9.37273397451e-06,1.24289342478e-05,8.84271081361e-06,2.50016920541e-06,1.24289342478e-05
2011-12-24,9.09851889317e-06,1.22021948227e-05,8.74058759326e-06,2.68007380915e-06,1.22021948227e-05
2011-12-25,1.05087223267e-05,1.42238911859e-05,1.02402439371e-05,2.89783980305e-06,1.42238911859e-05
2011-12-26,7.82503508749e-06,1.35650385016e-05,9.94594304837e-06,2.75411494512e-06,1.35650385016e-05
2011-12-27,9.47156039107e-06,1.24552474633e-05,8.14223246448e-06,2.55285621483e-06,1.24552474633e-05
2011-12-28,7.55967678845e-06,1.18546710711e-05,9.2451490806e-06,2.95552477063e-06,1.18546710711e-05
2011-12-29,8.88537977189e-06,1.02413613765e-05,8.04536241004e-06,2.26332833628e-06,1.0408074764e-05
2011-12-30,4.84475500965e-06,7.01061370289e-06,7.28719929639e-06,2.112375543e-06,8.30194320638e-06
2011-12-31,6.33186588384e-06,7.91298372102e-06,1.05338282189e-05,2.98628167622e-06,1.05338282189e-05
2012-01-01,9.41481568743e-06,1.3903790422e-05,9.90869079251e-06,2.94347900014e-06,1.3903790422e-05
2012-01-01,9.41481568743e-06,1.3903790422e-05,9.90869079251e-06,2.94347900014e-06,1.3903790422e-05
2012-01-02,3.73798921383e-06,1.00958862645e-05,9.1227995285e-06,2.79391399064e-06,1.00958862645e-05
2012-01-03,5.98404481898e-06,7.60625433624e-06,6.85683664624e-06,2.17098323173e-06,8.21442583167e-06
2012-01-04,4.71217990012e-06,5.36690558371e-06,3.90525538254e-06,1.53815349636e-06,5.36690558371e-06
2012-01-05,1.62286410123e-06,2.12405722546e-06,2.24069395435e-06,8.33217758484e-08,2.54652476307e-06
2012-01-06,3.97264518879e-06,5.82407709399e-06,5.01439628118e-06,1.41547346797e-06,6.08296290025e-06
2012-01-07,4.00157593522e-06,5.17515212147e-06,5.51984921775e-06,2.85134491074e-06,5.9740980457e-06
2012-01-08,9.19076021657e-06,1.46197607459e-05,9.09296210126e-06,2.50959418188e-06,1.46197607459e-05
