time,10H,12H,14H,16H,max
2011-10-10,,,,7.52877094641e-08,7.52877094641e-08
2011-10-11,5.33994782919e-09,5.2608902234e-09,5.38500687212e-09,5.50710001962e-09,5.51872433065e-09
2011-10-12,5.21248315314e-09,5.15317528199e-09,5.13051898118e-09,,5.21248315314e-09
2011-10-13,5.57027772319e-09,5.35827837205e-09,5.63575353523e-09,5.1310591738e-09,5.64073093606e-09
2011-10-14,3.84273637004e-09,5.08769842434e-09,,,5.25786230548e-09
2011-10-15,,,,,
2011-10-16,,,,,
2011-10-17,,,,,
2011-10-18,,,,,
2011-10-19,,,,,
2011-10-20,,,,,
2011-10-21,,,,,
2011-10-22,,,,,
2011-10-23,,,,,
2011-10-24,,,2.63289456124e-06,1.43187855016e-06,2.63289456124e-06
2011-10-25,8.86059216194e-06,8.65173248399e-06,2.67775028805e-06,9.6538034296e-07,1.04212626776e-05
2011-10-26,4.88678714976e-06,7.45701320311e-06,6.07451756436e-06,2.49129934605e-06,7.45701320311e-06
2011-10-27,1.22418622228e-05,1.25796640802e-05,9.26053501687e-06,1.81078319085e-06,1.27715720358e-05
2011-10-28,8.77792078164e-06,1.57896232136e-05,1.0766117825e-05,2.68513945639e-06,1.57896232136e-05
2011-10-29,1.04562601384e-05,1.28386497005e-05,8.86095503779e-06,1.40276493713e-06,1.28386497005e-05
2011-10-30,1.0758485535e-05,8.6808840486e-06,6.04495090452e-06,2.32648423829e-06,1.0758485535e-05
2011-10-31,8.0166682245e-06,1.3801491667e-05,7.30560415293e-06,2.08361937986e-06,1.3801491667e-05
2011-11-01,1.05979404602e-05,1.42765676881e-05,9.31388871434e-06,2.15577518432e-06,1.42765676881e-05
2011-11-02,1.2751434183e-05,1.56642578663e-05,9.93836839143e-06,2.53238390932e-06,1.56642578663e-05
2011-11-03,9.68307743097e-06,1.47775541679e-05,9.18150984237e-06,2.12358729916e-06,1.47775541679e-05
2011-11-04,1.0829417327e-05,1.134651934e-05,5.00823049331e-06,1.60298382417e-06,1.134651934e-05
2011-11-05,1.24727447849e-05,1.46411186102e-05,9.01946716363e-06,2.32786617084e-06,1.49815709171e-05
2011-11-06,1.31467707139e-05,1.58906857829e-05,6.76473549125e-06,1.16578017003e-06,1.58906857829e-05
2011-11-07,1.20241641482e-05,1.51123194736e-05,6.96663629818e-06,1.45396214089e-06,1.5335095184e-05
2011-11-08,3.43552393838e-06,2.94833771895e-06,2.00176790593e-06,3.12046495097e-07,3.43552393838e-06
2011-11-09,2.56790748268e-06,3.60073621137e-06,2.5150927292e-06,3.83317889055e-07,3.60073621137e-06
2011-11-10,1.06845408748e-05,1.14261425157e-05,6.82569234018e-06,1.44407540799e-06,1.1734800344e-05
2011-11-11,1.10901462314e-05,1.31044358085e-05,6.85665275918e-06,1.34125238379e-06,1.40891719967e-05
2011-11-12,1.21545211123e-05,1.45421673731e-05,8.99440607976e-06,1.86245391802e-06,1.45421673731e-05
2011-11-13,9.89314333578e-06,1.5438911449e-05,1.03030207889e-05,2.20199889726e-06,1.5438911449e-05
2011-11-14,1.12262763511e-05,1.39812253692e-05,8.83439974706e-06,1.90259043803e-06,1.39812253692e-05
2011-11-15,1.0642895509e-05,1.38550807131e-05,9.06438903422e-06,1.95709053894e-06,1.38550807131e-05
2011-11-16,9.66402494596e-06,1.32233467233e-05,6.4209526831e-06,1.64633610991e-06,1.32233467233e-05
2011-11-17,7.6217882911e-06,5.05442970699e-06,3.64068398941e-06,8.69744010452e-07,8.22406723603e-06
2011-11-18,4.0089255228e-06,6.2851999315e-06,2.93889514492e-06,2.46495277055e-07,6.2851999315e-06
2011-11-19,6.65767294013e-06,1.47924746815e-05,8.93292749324e-06,1.86983032019e-06,1.47924746815e-05
2011-11-20,1.07227865851e-05,1.3630842155e-05,8.80246866564e-06,1.9412613693e-06,1.3630842155e-05
2011-11-21,6.73082958101e-06,8.22078849943e-06,3.26771986794e-06,1.06393781659e-06,8.22078849943e-06
2011-11-22,6.29121777857e-06,1.06115158707e-05,8.15914213312e-06,1.47860605991e-06,1.06649277114e-05
2011-11-23,1.07676860292e-05,1.3289484433e-05,8.18811904292e-06,1.80471950772e-06,1.3339492073e-05
2011-11-24,9.97599452552e-06,1.27253938034e-05,8.33159184689e-06,1.69189867022e-06,1.27253938034e-05
2011-11-25,7.74868148192e-06,6.56275523058e-06,3.77746107746e-06,7.99449798284e-07,8.39914074708e-06
2011-11-26,3.34245311016e-06,2.38094927232e-06,7.6742723584e-06,1.32300822819e-06,7.74016783974e-06
2011-11-27,9.73845780886e-06,1.16345926551e-05,7.42133267943e-06,1.70668335388e-06,1.16345926551e-05
2011-11-28,8.96150859303e-06,1.04296105185e-05,6.55976354626e-06,1.36051287701e-06,1.10844019923e-05
2011-11-29,7.49736709678e-06,8.49852109163e-06,5.02355818141e-06,1.48179196559e-06,8.786098068e-06
2011-11-30,6.19744163213e-06,8.84920378751e-06,6.56842029171e-06,1.39652822553e-06,9.29703676987e-06
2011-12-01,9.37057334395e-06,1.24595625877e-05,7.59384248073e-06,1.83977103568e-06,1.24595625877e-05
2011-12-02,1.01327222551e-05,1.29429745193e-05,8.36884481444e-06,1.89909191371e-06,1.29429745193e-05
2011-12-03,9.95750977468e-06,1.3956064517e-05,9.07703828246e-06,1.92141966198e-06,1.3956064517e-05
2011-12-04,9.6029148163e-06,1.22206089297e-05,7.86767306635e-06,1.76874339557e-06,1.22206089297e-05
2011-12-05,6.11717362913e-06,8.56649392902e-06,5.82712054762e-06,1.14389710756e-06,9.49846625142e-06
2011-12-06,8.988580819e-06,9.2465367849e-06,6.88766527773e-06,1.46869758263e-06,9.73317630168e-06
2011-12-07,6.18479882481e-06,4.25113736706e-06,4.15284609409e-06,7.71314858588e-07,6.18479882481e-06
2011-12-08,7.98681707108e-06,1.2311435523e-05,7.75970491324e-06,1.48672335206e-06,1.2311435523e-05
2011-12-09,7.91892200164e-06,1.22671030528e-05,6.65709341371e-06,1.94513548028e-06,1.22671030528e-05
2011-12-10,9.98313754724e-06,1.29964819432e-05,8.85953290588e-06,2.00418095378e-06,1.29964819432e-05
2011-12-11,9.45134790746e-06,1.25311252785e-05,8.46486594084e-06,1.96944321233e-06,1.25311252785e-05
2011-12-12,9.27749522234e-06,1.22088696333e-05,7.6185728056e-06,1.8030208096e-06,1.22088696333e-05
2011-12-13,8.92367888363e-06,1.20898329203e-05,8.06666297498e-06,1.80718326276e-06,1.20898329203e-05
2011-12-14,7.97873639188e-06,9.45105035668e-06,6.95731342782e-06,1.74924614088e-06,1.04143718686e-05
2011-12-15,8.53453209323e-06,1.13143718773e-05,6.56552394907e-06,1.40167810966e-06,1.13143718773e-05
2011-12-16,7.57789367734e-06,1.15200232851e-05,6.67289626802e-06,1.65928859346e-06,1.15200232851e-05
2011-12-17,5.72533838451e-06,9.00478498683e-06,6.90315146538e-06,1.63484210085e-06,9.00478498683e-06
2011-12-18,7.43049634324e-06,1.08297939353e-05,7.5772623235e-06,1.85446766684e-06,1.08297939353e-05
2011-12-19,8.49520293514e-06,1.13800463065e-05,7.82618120472e-06,1.85282672748e-06,1.13800463065e-05
2011-12-20,8.25173687061e-06,9.16546227136e-06,4.19075474649e-06,9.02063852604e-07,9.84733331916e-06
2011-12-21,6.06689386542e-06,1.1139956984e-05,7.89899635621e-06,1.98240345022e-06,1.1139956984e-05
2011-12-22,7.41300348418e-06,1.0197863343e-05,7.29943493875e-06,1.83783612937e-06,1.0197863343e-05
2011-12-23,7.77507732717e-06,1.06095078116e-05,7.2802346109e-06,1.79370123985e-06,1.06095078116e-05
2011-12-24,7.52980370277e-06,1.03547602849e-05,7.16472017927e-06,1.92159454188e-06,1.03547602849e-05
2011-12-25,8.74490132936e-06,1.22165632053e-05,8.47254607658e-06,2.10111251793e-06,1.22165632053e-05
2011-12-26,6.58176447187e-06,1.16761039755e-05,8.23591982647e-06,1.99890032524e-06,1.16761039755e-05
2011-12-27,7.915928615e-06,1.07433141492e-05,6.79737251665e-06,1.87383232491e-06,1.07433141492e-05
2011-12-28,6.36992637279e-06,1.02611004233e-05,7.71831732956e-06,2.15738380901e-06,1.02611004233e-05
2011-12-29,7.33893850813e-06,8.6704552211e-06,6.59257882421e-06,1.63954231765e-06,8.72452993565e-06
2011-12-30,4.03489120272e-06,6.02189160546e-06,6.05935953269e-06,1.53297572676e-06,7.05445395715e-06
2011-12-31,5.27503962026e-06,6.84183733303e-06,8.68003354183e-06,2.15388540599e-06,8.68003354183e-06
2012-01-01,7.80011106014e-06,1.18723166472e-05,8.18376613873e-06,2.12141955804e-06,1.18723166472e-05
2012-01-01,7.80011106014e-06,1.18723166472e-05,8.18376613873e-06,2.12141955804e-06,1.18723166472e-05
2012-01-02,3.13893980909e-06,8.7204219152e-06,7.58980341235e-06,2.04151270742e-06,8.7204219152e-06
2012-01-03,5.04662177042e-06,6.62565806089e-06,5.79071799835e-06,1.5995816483e-06,7.08545243179e-06
2012-01-04,4.00466328309e-06,4.69161338934e-06,3.31445630622e-06,1.10706479714e-06,4.69161338934e-06
2012-01-05,1.23926246091e-06,1.73708163572e-06,1.81913576918e-06,1.02730748934e-07,2.17062623737e-06
2012-01-06,3.348059525e-06,5.03550315334e-06,4.22666313937e-06,1.01462027043e-06,5.25132964778e-06
2012-01-07,3.31865266304e-06,4.45073637806e-06,4.61127174395e-06,2.07229387756e-06,5.11367688495e-06
2012-01-08,7.63751087924e-06,1.25324434863e-05,7.583383381e-06,1.8602388097e-06,1.25324434863e-05
2012-01-09,9.80014848719e-06,1.26089124736e-05,9.52106574351e-06,2.61044254897e-06,1.26089124736e-05
2012-01-10,8.75028283544e-06,1.18171172823e-05,9.07269033218e-06,2.58014929028e-06,1.18171172823e-05
2012-01-11,6.2188064619e-06,8.71488471289e-06,6.50477749732e-06,1.45422378291e-06,8.71488471289e-06
2012-01-12,3.97458598319e-06,6.20715382023e-06,3.32004380372e-06,7.5013643881e-07,6.20715382023e-06
2012-01-13,4.62281719317e-06,6.23270814763e-06,4.29301935904e-06,1.4142482433e-06,8.08152581918e-06
2012-01-14,3.54583795408e-06,7.2391115161e-06,2.94525493798e-06,1.59936708064e-06,7.2391115161e-06
2012-01-15,4.82174587717e-07,1.38023212793e-06,9.58736184608e-07,1.96591416458e-07,2.01532071437e-06
2012-01-16,5.8983885621e-06,9.4055987482e-06,1.03843180829e-05,3.30213250552e-06,1.08774001931e-05
2012-01-17,3.75696826677e-06,1.24437392889e-05,8.87140650214e-06,3.08627919497e-06,1.24437392889e-05
2012-01-18,9.19653016401e-06,1.32007718975e-05,9.39735036213e-06,1.31817400717e-06,1.32007718975e-05
2012-01-19,3.04671499487e-06,5.7006069817e-06,2.19047247656e-06,9.39747082717e-07,6.05054110865e-06
2012-01-20,2.23613142324e-06,2.33727183748e-06,1.65798980417e-06,7.52210555895e-07,2.41451869538e-06
2012-01-21,5.87464467863e-07,1.40606635198e-06,1.2742558432e-06,1.57375037293e-07,1.4139146703e-06
2012-01-22,1.92758547063e-06,2.5866479204e-06,1.37315648834e-06,2.73484695585e-07,2.5866479204e-06
2012-01-23,2.58439850505e-06,3.87910376336e-06,4.63196267905e-06,1.02629251606e-06,5.28502251865e-06
2012-01-24,1.58717511061e-06,1.56135735975e-06,6.20913647412e-07,3.57803786798e-07,1.58717511061e-06
2012-01-25,4.66062765659e-06,4.8949827533e-06,3.08105239701e-06,6.04167256439e-07,6.79761695686e-06
2012-01-26,1.90725299351e-06,3.17715817668e-06,2.58372657758e-06,2.97876386172e-07,3.65127763895e-06
2012-01-27,1.80329009759e-06,2.75407951447e-06,2.39405491323e-06,5.3892296357e-07,3.28010834978e-06
2012-01-28,4.57028024062e-06,6.36129974107e-06,5.54746013778e-06,1.37215683461e-06,7.67124208227e-06
2012-01-29,3.47192537454e-06,6.15133085328e-06,7.47582117678e-06,1.76270777392e-06,7.47582117678e-06
2012-01-30,6.53577633338e-06,1.40371615865e-05,1.08324510516e-05,2.77732746585e-06,1.40371615865e-05
2012-01-31,8.22557172283e-06,1.42447241454e-05,1.09605194387e-05,3.51131022401e-06,1.42447241454e-05
2012-02-01,6.56145346471e-06,1.06363494546e-05,5.98863483073e-06,2.03588355862e-06,1.06363494546e-05
2012-02-02,2.93487722202e-06,7.44529117837e-06,6.90404672235e-06,2.31615035788e-06,9.09045386289e-06
2012-02-03,4.31886070541e-06,9.881796161e-06,6.3307684647e-06,1.91246842143e-06,9.881796161e-06
2012-02-04,5.98361895738e-06,6.01459989545e-06,4.74714063147e-06,2.61298253866e-06,6.50647501545e-06
2012-02-05,3.85762631899e-06,7.51095172194e-06,3.68696196439e-06,2.04348517898e-06,7.51095172194e-06
2012-02-06,5.80740980695e-06,6.05164838361e-06,1.99984937731e-06,3.28043659996e-06,8.57904240846e-06
2012-02-07,8.43073614589e-06,9.50654833433e-06,6.23378482777e-06,1.12006643404e-06,1.09969888326e-05
2012-02-08,2.66509837995e-06,5.35594131554e-06,3.35981939272e-06,5.76819454468e-07,5.35594131554e-06
2012-02-09,4.3372295901e-06,7.47141826226e-06,5.21107274595e-06,1.34106792008e-06,7.47141826226e-06
2012-02-10,1.45111159534e-06,2.11585319319e-06,1.03324449128e-06,2.07433621726e-07,2.11585319319e-06
2012-02-11,4.44063281591e-06,5.58203482268e-06,6.54419515676e-06,1.99617680122e-06,6.54419515676e-06
2012-02-12,4.58674996481e-06,6.25294716802e-06,6.32927982562e-06,1.8180615146e-06,6.91039997203e-06
2012-02-13,1.08191415341e-05,1.49794910826e-05,1.10029825715e-05,3.52744239309e-06,1.49794910826e-05
2012-02-14,1.07088777312e-05,1.1878196638e-05,8.70218658541e-06,,1.35804673042e-05
2012-02-15,,6.19217510557e-06,7.50386369059e-06,3.42724418326e-06,9.63584408421e-06
2012-02-16,2.66143190575e-06,4.10382743716e-06,3.28798589434e-06,1.7429485558e-06,4.8059202004e-06
2012-02-17,6.60231244698e-06,1.19158675195e-05,1.24453753958e-05,4.08521405569e-06,1.4408197102e-05
2012-02-18,7.12356415245e-06,1.47769206704e-05,1.0334465072e-05,3.3110019906e-06,1.47769206704e-05
2012-02-19,8.91181901694e-06,1.39728589379e-05,1.05346045775e-05,3.68995091228e-06,1.39728589379e-05
2012-02-20,4.34704672872e-06,5.50812049673e-06,4.22542545744e-06,1.15012096628e-06,5.50812049673e-06
