time,10H,12H,14H,16H,max
2011-10-10,,,,1.15768653565e-06,1.15768653565e-06
2011-10-11,7.33501373497e-08,7.28716391315e-08,7.47657651794e-08,7.64670716315e-08,7.64670716315e-08
2011-10-12,7.17202870518e-08,7.10066124626e-08,7.07929074224e-08,,7.17202870518e-08
2011-10-13,7.77266754438e-08,7.44452541976e-08,7.85474705274e-08,7.09594348801e-08,7.85474705274e-08
2011-10-14,5.02558227808e-08,6.80988606599e-08,,,7.03583302947e-08
2011-10-15,,,,,
2011-10-16,,,,,
2011-10-17,,,,,
2011-10-18,,,,,
2011-10-19,,,,,
2011-10-20,,,,,
2011-10-21,,,,,
2011-10-22,,,,,
2011-10-23,,,,,
2011-10-24,,,2.13384117472e-06,8.79656612107e-07,2.13384117472e-06
2011-10-25,9.10249270535e-06,9.4743125611e-06,2.49454863981e-06,5.57569330041e-07,1.09311516904e-05
2011-10-26,4.81234706241e-06,8.00505157842e-06,5.577044305e-06,1.41792557131e-06,8.00505157842e-06
2011-10-27,1.23328220678e-05,1.36172264412e-05,8.4935245936e-06,1.10141909173e-06,1.3706062857e-05
2011-10-28,8.93910437764e-06,1.7517251347e-05,1.00050841139e-05,1.60006146952e-06,1.7517251347e-05
2011-10-29,1.05105556419e-05,1.39702595924e-05,8.15289286793e-06,8.3149073143e-07,1.39702595924e-05
2011-10-30,1.067761467e-05,9.37574703753e-06,5.54129649757e-06,1.34236749628e-06,1.09211977856e-05
2011-10-31,8.00140991305e-06,1.48328812124e-05,6.64311752266e-06,1.2170963235e-06,1.48328812124e-05
2011-11-01,1.05153082575e-05,1.54053065356e-05,8.55390851776e-06,1.28939197862e-06,1.54053065356e-05
2011-11-02,1.3017800642e-05,1.73905000423e-05,9.24951952523e-06,1.54351705343e-06,1.73905000423e-05
2011-11-03,1.00196830144e-05,1.64632891816e-05,8.53217111615e-06,1.29420549988e-06,1.64632891816e-05
2011-11-04,1.09196188873e-05,1.22903112815e-05,4.63307604523e-06,9.68780971002e-07,1.22903112815e-05
2011-11-05,1.27780109895e-05,1.62170823002e-05,8.43397584619e-06,1.42900669428e-06,1.6518316358e-05
2011-11-06,1.38918008718e-05,1.82347495652e-05,6.61698009774e-06,7.36013196606e-07,1.82347495652e-05
2011-11-07,1.31219830775e-05,1.77758075274e-05,6.94195723989e-06,9.31254482839e-07,1.79506904558e-05
2011-11-08,3.50294834519e-06,3.28569307452e-06,1.89256520084e-06,1.71165812617e-07,3.50294834519e-06
2011-11-09,2.44272493888e-06,3.97473179921e-06,2.3489381842e-06,7.95518232521e-07,3.97473179921e-06
2011-11-10,1.07063894625e-05,1.23408676338e-05,6.21846431883e-06,8.02069866907e-07,1.25700846865e-05
2011-11-11,1.08118400674e-05,1.38848612891e-05,6.1251423596e-06,7.28071179414e-07,1.48071705168e-05
2011-11-12,1.17446624422e-05,1.52708611465e-05,8.00974799102e-06,1.05131496201e-06,1.52708611465e-05
2011-11-13,9.8015046685e-06,1.67127132032e-05,9.34425308142e-06,1.28326323037e-06,1.67127132032e-05
2011-11-14,1.10463461568e-05,1.48710180327e-05,7.8885636749e-06,1.10634759504e-06,1.48710180327e-05
2011-11-15,1.05337120431e-05,1.5020631744e-05,8.38092375158e-06,1.16795261274e-06,1.5020631744e-05
2011-11-16,9.78903142197e-06,1.44987600352e-05,5.9538442082e-06,9.67386869186e-07,1.44987600352e-05
2011-11-17,7.8713257286e-06,5.64642702308e-06,3.41739510837e-06,5.27899639325e-07,9.09394354959e-06
2011-11-18,4.05037513022e-06,7.03439302796e-06,2.80280863429e-06,1.56828096829e-07,7.03439302796e-06
2011-11-19,7.02139636364e-06,1.66997679812e-05,8.45206178085e-06,1.10673303821e-06,1.66997679812e-05
2011-11-20,1.0668155602e-05,1.4813466257e-05,8.08476495939e-06,1.12431688096e-06,1.4813466257e-05
2011-11-21,6.97843814761e-06,9.24792469688e-06,3.12466254079e-06,6.07860391417e-07,9.24792469688e-06
2011-11-22,6.29622658268e-06,1.16803753576e-05,7.56518745175e-06,8.69245552597e-07,1.16803753576e-05
2011-11-23,1.06583889422e-05,1.43353923941e-05,7.41992126015e-06,1.01645218285e-06,1.43353923941e-05
2011-11-24,9.4490487627e-06,1.3008808798e-05,7.11418151322e-06,9.24882524394e-07,1.3008808798e-05
2011-11-25,7.07061066592e-06,6.41388206586e-06,3.14668565447e-06,4.23907905192e-07,8.22402828561e-06
